,page_number,word,organization
0,2,guilford,Guilford County
1,2,county,Guilford County
2,2,by,Guilford County
3,2,the,Guilford County
4,2,numbers,Guilford County
5,2,what,Guilford County
6,2,makes,Guilford County
7,2,us,Guilford County
8,2,count,Guilford County
9,2,county,Guilford County
10,2,ou,Guilford County
11,2,ou,Guilford County
12,2,un,Guilford County
13,2,unt,Guilford County
14,2,nty,Guilford County
15,2,st,Guilford County
16,2,n,Guilford County
17,2,s,Guilford County
18,2,staff,Guilford County
19,2,ta,Guilford County
20,2,taf,Guilford County
21,2,af,Guilford County
22,2,rerready,Guilford County
23,2,e,Guilford County
24,2,ea,Guilford County
25,2,ead,Guilford County
26,2,ad,Guilford County
27,2,and,Guilford County
28,2,nd,Guilford County
29,2,cities,Guilford County
30,2,av,Guilford County
31,2,ava,Guilford County
32,2,a,Guilford County
33,2,v,Guilford County
34,2,vaaiil,Guilford County
35,2,ila,Guilford County
36,2,la,Guilford County
37,2,lab,Guilford County
38,2,ab,Guilford County
39,2,ab,Guilford County
40,2,available,Guilford County
41,2,blle,Guilford County
42,2,ble,Guilford County
43,2,le,Guilford County
44,2,ttoosserve,Guilford County
45,2,seerve,Guilford County
46,2,towns,Guilford County
47,2,county,Guilford County
48,2,buildings,Guilford County
49,2,covering,Guilford County
50,2,and,Guilford County
51,2,rural,Guilford County
52,2,areas,Guilford County
53,2,estimated,Guilford County
54,2,county,Guilford County
55,2,million,Guilford County
56,2,residents,Guilford County
57,2,as,Guilford County
58,2,of,Guilford County
59,2,square,Guilford County
60,2,feet,Guilford County
61,2,rural,Guilford County
62,2,areas,Guilford County
63,2,of,Guilford County
64,2,space,Guilford County
65,2,july,Guilford County
66,2,public,Guilford County
67,2,safety,Guilford County
68,2,health,Guilford County
69,2,human,Guilford County
70,2,services,Guilford County
71,2,percent,Guilford County
72,2,of,Guilford County
73,2,ems,Guilford County
74,2,calls,Guilford County
75,2,responded,Guilford County
76,2,to,Guilford County
77,2,in,Guilford County
78,2,minutes,Guilford County
79,2,or,Guilford County
80,2,less,Guilford County
81,2,from,Guilford County
82,2,time,Guilford County
83,2,of,Guilford County
84,2,dispatch,Guilford County
85,2,percent,Guilford County
86,2,of,Guilford County
87,2,population,Guilford County
88,2,eligible,Guilford County
89,2,for,Guilford County
90,2,medicaid,Guilford County
91,2,minute,Guilford County
92,2,average,Guilford County
93,2,le,Guilford County
94,2,response,Guilford County
95,2,time,Guilford County
96,2,live,Guilford County
97,2,births,Guilford County
98,2,in,Guilford County
99,2,from,Guilford County
100,2,dispatch,Guilford County
101,2,recreation,Guilford County
102,2,culture,Guilford County
103,2,education,Guilford County
104,2,students,Guilford County
105,2,attending,Guilford County
106,2,public,Guilford County
107,2,and,Guilford County
108,2,charter,Guilford County
109,2,acres,Guilford County
110,2,of,Guilford County
111,2,parks,Guilford County
112,2,trails,Guilford County
113,2,and,Guilford County
114,2,schools,Guilford County
115,2,in,Guilford County
116,2,fy,Guilford County
117,2,open,Guilford County
118,2,space,Guilford County
119,2,students,Guilford County
120,2,enrolled,Guilford County
121,2,at,Guilford County
122,2,gtcc,Guilford County
123,2,in,Guilford County
124,2,fy,Guilford County
125,2,economic,Guilford County
126,2,development,Guilford County
127,2,general,Guilford County
128,2,government,Guilford County
129,2,economic,Guilford County
130,2,development,Guilford County
131,2,organizations,Guilford County
132,2,aaa,Guilford County
133,2,highest,Guilford County
134,2,bond,Guilford County
135,2,rating,Guilford County
136,2,maintained,Guilford County
137,2,in,Guilford County
138,2,fy,Guilford County
139,2,and,Guilford County
140,2,cultural,Guilford County
141,2,agencies,Guilford County
142,2,awarded,Guilford County
143,2,a,Guilford County
144,2,total,Guilford County
145,2,of,Guilford County
146,2,in,Guilford County
147,2,fy,Guilford County
148,2,to,Guilford County
149,2,support,Guilford County
150,2,job,Guilford County
151,2,and,Guilford County
152,2,business,Guilford County
153,2,usiness,Guilford County
154,2,voter,Guilford County
155,2,information,Guilford County
156,2,updates,Guilford County
157,2,and,Guilford County
158,2,new,Guilford County
159,2,registrations,Guilford County
160,2,prospects,Guilford County
161,2,processed,Guilford County
162,2,in,Guilford County
163,2,fy,Guilford County
164,2,sources,Guilford County
